2428.34 0.0,60
2610.22 341.29,120
2713.04 972.86,60
2815.86 1277.17,120
3019.16 1584.45,60
3269.78 1864.54,60
3495.14 1953.37,60
3814.09 2135.7,60
4040.61 2105.1,60
4120.7 1971.64,60
4321.87 1981.42,60
4496.4 2130.6,60
4485.05 2325.25,60
4414.8 2547.11,180
4308.38 3103.03,60
4283.82 3284.09,120
4426.84 3623.25,60
4378.59 3878.26,60
4213.84 4036.37,180
4562.66 4702.37,60
4622.63 4885.13,60
4451.7 5025.81,60
4247.31 5191.99,60
4022.09 5466.97,60
3839.71 5477.6,60
3697.98 5557.5,30
3558.95 5589.8,120
3402.1 5219.19,0
