4542.67 7278.43,0
4216.56 7120.0,1
3928.28 6871.21,1
3989.51 6591.33,1
4042.29 6344.55,0
4032.57 5758.61,2
4025.43 5445.76,1
4272.73 5165.21,1
4484.44 4993.07,1
4645.64 4856.81,1
4480.97 4649.13,1
4159.43 3930.73,3
3808.7 3877.69,1
3283.93 3674.25,2
3064.67 3423.34,1
2829.14 3156.5,1
2750.28 2788.61,2
2796.25 2410.91,2
2942.94 2231.87,1
3265.8 2220.28,2
3628.45 2118.22,2
3831.85 1845.26,2
3873.51 1668.66,1
3619.18 1490.29,2
3692.51 1291.3,1
3841.76 1078.16,1
3749.47 754.39,2
3504.2 732.89,1
3418.06 803.19,1
