12724.89 11376.58,30
12429.41 11285.35,60
11933.28 11276.01,120
11060.2 11261.59,120
10870.17 10998.94,120
10446.55 10707.43,120
10018.47 10804.6,120
9936.32 10359.07,60
9905.04 9967.86,60
9831.17 9798.56,60
9620.38 9523.6,60
9456.13 9236.35,120
9114.74 8870.16,120
8924.77 8627.03,60
8747.03 8577.81,60
8674.82 8274.01,120
8637.43 8008.39,60
8652.17 7675.31,60
8767.11 7405.87,60
9041.49 7015.93,60
9447.65 7004.47,120
9962.17 6960.34,60
10244.96 6906.88,120
10583.16 6635.32,60
10892.77 6200.83,60
11173.47 5896.17,120
11967.39 6061.65,60
12255.77 6100.69,60
12658.65 5633.95,120
13175.05 5388.28,120
