12996.76 14545.35,30
13066.41 14197.84,60
12810.9 14002.65,60
12295.88 13835.9,60
11798.33 13804.07,60
11485.55 13756.55,60
11290.91 13599.56,60
11279.14 13393.76,60
11632.71 13074.68,60
11906.48 13014.85,60
12165.46 12680.07,60
12550.12 12497.19,60
12677.66 12243.45,60
12455.57 11828.05,60
12495.84 11526.78,60
12542.39 11170.36,120
12646.14 10346.35,180
12215.62 9625.44,120
12334.89 9226.16,60
12426.49 8868.89,120
12364.65 8485.31,120
12049.6 8461.13,60
11695.03 8435.25,60
11560.29 8177.69,120
11204.38 8162.84,60
10834.04 8157.32,60
10459.39 8154.35,60
9872.16 8111.92,120
9486.69 8170.48,120
8904.34 8185.75,120
8710.16 8206.97,60
8637.43 8008.39,120
8332.54 7919.28,60
7814.99 7822.12,120
7491.73 7770.78,120
6758.1 7805.57,120
6394.29 7737.68,60
5804.88 7620.57,60
5212.31 7568.38,120
4581.3 7511.52,60
3973.26 7388.05,60
3484.42 7344.77,60
3037.35 7321.43,120
2691.87 7302.34,60
1979.12 7102.49,60
1254.17 6853.42,60
751.79 6948.89,120
295.79 7088.06,60
0.0 7050.3,120
