17081.37 5702.69,30
16573.84 5638.62,60
16171.28 5661.11,60
15828.12 5761.24,60
15370.9 6130.39,60
14826.59 6529.24,60
14748.52 6955.68,60
14591.14 7053.69,60
14176.25 7212.38,120
13946.3 7363.86,60
13645.25 7610.81,60
13815.73 7899.77,120
13703.66 8210.36,60
13564.89 8337.23,60
13358.04 8368.63,60
13043.42 8416.58,60
12604.66 8486.16,60
12414.06 8933.39,120
12242.35 9129.42,120
11914.7 9048.38,60
11409.35 8945.27,60
11136.82 9098.44,60
10479.6 9233.8,120
9801.98 9345.82,180
9622.34 9571.55,120
9391.85 9618.65,120
9287.66 9838.02,60
9671.83 10735.44,180
9334.81 10856.79,120
8945.69 10892.01,60
8735.68 10845.34,60
8445.18 10776.17,60
7569.47 10579.72,120
6970.36 10889.46,180
6616.66 10932.32,120
6276.56 10905.16,60
5556.84 10842.79,60
5171.03 10790.6,60
4673.11 10729.92,60
4380.63 10677.73,60
3878.73 10538.56,60
3438.13 10414.66,60
2799.79 10236.02,60
2391.62 10132.07,120
1928.19 10121.46,120
