17084.39 5698.87,30
16573.84 5638.62,60
16171.28 5661.11,60
15828.12 5761.24,60
15370.9 6130.39,60
14826.59 6529.24,60
14748.52 6955.68,60
14591.14 7053.69,60
14176.25 7212.38,120
13946.3 7363.86,60
13645.25 7610.81,60
13429.99 7715.19,60
12868.74 7650.27,120
12314.92 7493.28,60
11693.45 7284.09,120
11524.73 7350.28,60
11192.26 7460.18,120
10953.87 7745.32,60
10659.55 7776.72,60
10210.0 7943.47,120
9872.16 8111.92,120
9486.69 8170.48,120
8904.34 8185.75,180
8710.16 8206.97,60
8694.02 8392.81,60
8687.05 8854.89,180
8295.97 8829.43,60
7663.73 8803.55,120
7607.01 9137.06,60
7610.05 9588.52,120
8004.09 9885.97,180
7619.68 10254.69,240
7189.63 10154.13,60
6659.58 10112.12,120
6444.6 9552.88,60
5984.97 9284.29,180
5509.5 9168.46,60
5287.46 9112.45,60
4634.15 9073.83,60
4317.63 9020.8,60
3912.88 8815.0,60
3482.21 8637.22,60
2996.78 8437.79,60
2545.64 8261.28,60
1809.48 8201.45,180
