7724.92 3007.06,30
7836.65 3567.99,60
7987.3 4256.22,60
8324.61 5078.11,120
8594.17 5826.59,120
8680.39 6442.26,120
8365.67 7341.8,120
8302.36 7834.0,60
8387.43 7920.56,60
8658.72 8144.59,120
8694.02 8392.81,60
8687.05 8854.89,120
8295.97 8829.43,60
8233.97 8935.93,60
8402.39 9611.44,120
8004.09 9885.97,120
7933.76 10370.53,180
7569.47 10579.72,60
6857.03 10305.61,120
6513.25 10177.47,120
6123.82 10099.82,120
5792.02 10103.21,60
5103.03 10044.23,60
4417.72 9978.04,120
3762.19 9745.1,60
3326.34 9574.95,60
2985.31 9418.8,60
