0:01:6:15:00,4,0
0:01:15:00:00,0,4
2:01:6:15:00,4,0
2:01:15:00:00,0,4
3:01:6:15:00,4,0
3:01:15:00:00,0,4
7:01:6:15:00,4,0
7:01:15:00:00,0,4
9:01:6:15:00,4,0
9:01:15:00:00,0,4
10:01:6:15:00,4,0
10:01:15:00:00,0,4
14:01:6:15:00,4,0
14:01:15:00:00,0,4
16:01:6:15:00,4,0
16:01:15:00:00,0,4
17:01:6:15:00,4,0
17:01:15:00:00,0,4
21:01:6:15:00,4,0
21:01:15:00:00,0,4
23:01:6:15:00,4,0
23:01:15:00:00,0,4
24:01:6:15:00,4,0
24:01:15:00:00,0,4
28:01:6:15:00,4,0
28:01:15:00:00,0,4
30:01:6:15:00,4,0
30:01:15:00:00,0,4
31:01:6:15:00,4,0
31:01:15:00:00,0,4
35:01:6:15:00,4,0
35:01:15:00:00,0,4
37:01:6:15:00,4,0
37:01:15:00:00,0,4
38:01:6:15:00,4,0
38:01:15:00:00,0,4
