1:06:12:25:00,0,3
1:06:15:45:00,3,0
2:06:12:25:00,0,3
2:06:15:45:00,3,0
3:06:12:25:00,0,3
3:06:15:45:00,3,0
4:06:12:25:00,0,3
4:06:15:45:00,3,0
5:06:12:25:00,0,3
5:06:15:45:00,3,0
6:06:12:25:00,0,3
6:06:15:45:00,3,0
7:06:12:25:00,0,3
7:06:15:45:00,3,0
8:06:12:25:00,0,3
8:06:15:45:00,3,0
9:06:12:25:00,0,3
9:06:15:45:00,3,0
10:06:12:25:00,0,3
10:06:15:45:00,3,0
11:06:12:25:00,0,3
11:06:15:45:00,3,0
12:06:12:25:00,0,3
12:06:15:45:00,3,0
13:06:12:25:00,0,3
13:06:15:45:00,3,0
14:06:12:25:00,0,3
14:06:15:45:00,3,0
15:06:12:25:00,0,3
15:06:15:45:00,3,0
16:06:12:25:00,0,3
16:06:15:45:00,3,0
17:06:12:25:00,0,3
17:06:15:45:00,3,0
18:06:12:25:00,0,3
18:06:15:45:00,3,0
19:06:12:25:00,0,3
19:06:15:45:00,3,0
20:06:12:25:00,0,3
20:06:15:45:00,3,0
21:06:12:25:00,0,3
21:06:15:45:00,3,0
22:06:12:25:00,0,3
22:06:15:45:00,3,0
23:06:12:25:00,0,3
23:06:15:45:00,3,0
24:06:12:25:00,0,3
24:06:15:45:00,3,0
25:06:12:25:00,0,3
25:06:15:45:00,3,0
26:06:12:25:00,0,3
26:06:15:45:00,3,0
27:06:12:25:00,0,3
27:06:15:45:00,3,0
28:06:12:25:00,0,3
28:06:15:45:00,3,0
29:06:12:25:00,0,3
29:06:15:45:00,3,0
30:06:12:25:00,0,3
30:06:15:45:00,3,0
1:07:12:25:00,0,3
1:07:15:45:00,3,0
2:07:12:25:00,0,3
2:07:15:45:00,3,0
3:07:12:25:00,0,3
3:07:15:45:00,3,0
4:07:12:25:00,0,3
4:07:15:45:00,3,0
5:07:12:25:00,0,3
5:07:15:45:00,3,0
6:07:12:25:00,0,3
6:07:15:45:00,3,0
7:07:12:25:00,0,3
7:07:15:45:00,3,0
8:07:12:25:00,0,3
8:07:15:45:00,3,0
9:07:12:25:00,0,3
9:07:15:45:00,3,0
10:07:12:25:00,0,3
10:07:15:45:00,3,0
11:07:12:25:00,0,3
11:07:15:45:00,3,0
12:07:12:25:00,0,3
12:07:15:45:00,3,0
